"","X","Year","Rainfall.6","Soil_Moisture.6","ET_Anomaly.6","ET.6","Temp.6","Rainfall.7","Soil_Moisture.7","ET_Anomaly.7","ET.7","Temp.7","Rainfall.8","Soil_Moisture.8","ET_Anomaly.8","ET.8","Temp.8","Rainfall.9","Soil_Moisture.9","ET_Anomaly.9","ET.9","Temp.9","Rainfall.10","Soil_Moisture.10","ET_Anomaly.10","ET.10","Temp.10","Rainfall.11","Soil_Moisture.11","ET_Anomaly.11","ET.11","Temp.11","Rainfall.12","Soil_Moisture.12","ET_Anomaly.12","ET.12","Temp.12","Rainfall.1","Soil_Moisture.1","ET_Anomaly.1","ET.1","Temp.1","Rainfall.2","Soil_Moisture.2","ET_Anomaly.2","ET.2","Temp.2","Rainfall.3","Soil_Moisture.3","ET_Anomaly.3","ET.3","Temp.3","Rainfall.4","Soil_Moisture.4","ET_Anomaly.4","ET.4","Temp.4","Rainfall.5","Soil_Moisture.5","ET_Anomaly.5","ET.5","Temp.5","Yield"
"1",1,2000,1.87674734143794,0.230218944121153,NA,NA,21.4870330008867,3.7912936801184,0.224520597533773,NA,NA,25.4216079425324,2.73965303658832,0.209372588486719,NA,NA,22.6797166451937,1.95364631917021,0.227107404581675,NA,NA,15.2873316024389,0.646649055771,0.2169802041369,NA,NA,8.00970163571565,0.330600913897977,0.234880430938747,NA,NA,-4.27478962722774,0.884856793798442,0.266857821083076,NA,NA,-18.9837213029104,NA,0.240198776625986,NA,NA,NA,NA,0.276178580698661,NA,NA,-3.162786241615,NA,0.355333134271063,NA,NA,-1.95879738133583,NA,0.305785733620062,NA,NA,7.40321581076696,NA,0.248925648819805,NA,NA,17.6842045664798,1.5
"2",99,2001,2.17515147820597,0.228834386342211,NA,NA,21.6224481950702,3.49134247901262,0.21946874363105,NA,NA,24.8221622241123,1.86039499987755,0.191296541389656,NA,NA,25.1318617676816,1.32790119084832,0.19083112186479,NA,NA,18.5564652587276,0.658880870566975,0.19521440706249,NA,NA,6.3387299642458,0.30662265671296,0.232780189896771,NA,NA,-2.17235910987344,0.398667941561721,0.253063066616679,NA,NA,-15.4064332075109,1.30097316261598,0.296717356708681,NA,NA,-7.17059361931806,0.32495824249895,0.321025078911302,NA,NA,-13.5090413836026,0.29177038153243,0.357154030030495,NA,NA,0.977472255476418,0.231039444468104,0.32080130509606,NA,NA,9.43953020791097,1.02286758761181,0.222030852366693,NA,NA,18.7045013406599,1.5
"3",267,2002,1.98782687724663,0.195072555893253,NA,NA,25.10174160233,2.46254886053766,0.204034778905709,NA,NA,26.4528425948815,1.74593272853273,0.202008792963747,NA,NA,20.1063904331579,1.71580825254306,0.212605891994669,NA,NA,14.5843677928728,0.510832062074862,0.229425012383154,NA,NA,2.84477540220396,0.735517655401147,0.248928942319836,NA,NA,-2.5267357273268,0.949907743362028,0.30177783305111,NA,NA,-8.28237377982967,1.8385112430984,0.292714745596101,NA,NA,-15.718756629736,0.764600104984909,0.320711918444228,NA,NA,-9.05294675767015,0.371952323153796,0.340035549303302,NA,NA,-16.3243229677808,0.279367860325327,0.362857372958447,NA,NA,1.32447393606071,0.676142190020197,0.259284270064891,NA,NA,15.6203555702559,1.2
"4",435,2003,2.23313526783929,0.23550224856423,97.05886575,110.127523733,21.565596398112,2.29328539883238,0.211977616775682,96.63461503,111.220418765,25.125890550072,2.78751297310059,0.179299108049633,70.30269284,49.8259268515,24.2263555261733,2.1622869332687,0.202195449562568,89.42655493,17.6490593537,16.5000137789186,1.61985900014675,0.211862738868579,93.83733261,4.02394471014,11.9013452157623,1.5454456259805,0.266544105540664,118.2664965,1.36258402676,-9.63113870559273,1.08298068761146,0.301020926728677,101.4458567,0.0736132474498,-13.402651964865,1.68907474405885,0.338308770756443,100.7581312,0.0413919774417,-14.0144703603892,0.718933385268871,0.357368763449622,102.7550635,0.18675830039,-14.508899140918,0.458083205874417,0.382279333246697,124.3461138,3.77056290603,-6.66603186877705,0.577146260335703,0.354476242890618,105.0822232,21.5464493407,6.48935731160593,0.777989966039146,0.24551959237367,88.40314972,67.0808574351,18.6089080806962,1.7
"5",603,2004,1.39214909013523,0.219187505530211,99.55367484,112.021719404,22.131707853134,3.17891865267483,0.205663051541657,97.26496493,111.359566085,24.0970226943328,1.65732805428044,0.198890448361539,105.7278384,74.1780758024,20.5700287362297,2.04248493951966,0.239765438782492,115.772737,23.4443778509,14.4483351403065,0.774944096673932,0.227850668111399,117.8831496,6.82640975313,5.60083681685674,1.36068330085258,0.274934856259139,124.116584,1.36982456528,-3.52190232640934,2.38150668020096,0.314287015081515,100.3437443,0.0372703397562,-15.6945792103436,2.28206484800709,0.321843484018971,101.3560772,0.0501011251486,-20.2194109501568,0.583064595176185,0.350011669651154,102.2287289,0.159327454179,-8.09537210570779,0.610078430683735,0.382273746941809,111.156098,2.83581455782,-2.09028239643109,0.269423837701764,0.299412017687024,93.91484899,19.031913969,10.5613637548561,0.840816715272568,0.240136811926071,104.2836489,78.4671521853,16.3489307114085,1.9
"6",771,2005,2.93975300202684,0.244075644625127,99.66699233,112.420059271,20.8755736919198,2.88605040839504,0.233617042099879,101.200559,115.915709949,22.2728422147627,2.19052596790766,0.222789713621315,111.7255839,78.7313010256,19.8942013790628,1.66651569227835,0.227370932351147,120.3291454,24.644857988,14.3645328871198,0.689020519682985,0.230158949417235,153.9379379,9.67080430155,7.68196558603287,0.430969074216449,0.228888646403772,114.1823637,1.06585884499,-1.29083723780232,0.672197378738788,0.248971023205419,100.4568862,0.0304212534211,-8.43062311879287,2.18866905260325,0.337201478494604,100.4745214,0.033203881348,-18.1665356067336,1.49090853670852,0.364032908346048,101.5823432,0.113097393083,-9.48758103860469,0.550349588953437,0.348136724231716,106.9175587,2.66340552346,-2.2161001296548,0.501687804612067,0.295657280039054,76.31324206,14.2223309098,10.141835898086,1.35302418264492,0.222067862098213,94.10906307,71.9609165953,19.2285004111926,2.1
"7",939,2006,2.6658635606832,0.230438275854426,96.88291324,109.010265668,22.1548845238889,2.77568511831057,0.203911299471166,89.75705091,103.060485777,25.3203185105015,2.11759213618001,0.18890156034587,97.08786514,69.2282014762,22.0679308152444,1.44271645067239,0.191182403005119,100.3626578,20.7047689713,17.873707288104,0.662688872572077,0.212059713556125,136.4439615,7.85688839742,5.39480321095594,1.47112703338667,0.239942306750543,117.2584124,1.19978215796,-14.0135465609336,0.990960014570703,0.277826565279124,101.0674481,0.0689143836563,-10.2403909712076,0.734516073708222,0.270417461403442,100.2637332,0.0265706466149,-10.3102565075118,0.952484210663253,0.292812659312435,102.2940147,0.127538219114,-9.27770412159835,0.656405704893194,0.330370392172554,121.2471112,4.23067381749,-5.05477005641041,0.540308004878408,0.297612407892698,84.0795603,14.9884339148,12.2526787459482,1.55137435698006,0.236869459361223,86.59497105,64.778078014,18.8038976032678,1.9
"8",1107,2007,3.01684849926288,0.225071419271775,99.5166136,112.406684765,21.6711045445334,2.82517243705462,0.202565623551156,91.74147494,105.302212258,25.6797406230611,2.4471216610235,0.204168811614569,100.2091421,70.8260815525,20.3840978064683,1.92981727007429,0.219596624577605,112.7633505,23.3986272634,14.5798476435827,0.677491037816236,0.220394118584778,116.7489387,6.61066895198,8.4004381284626,0.375742996676986,0.228138006972825,109.0242036,0.875534459403,-5.03912101368617,0.538823184649876,0.232701344659695,100.5024188,0.0523173637796,-16.904707858053,1.74597007389392,0.31355526642145,100.5124001,0.0406907914743,-11.6984158411368,0.543528979087821,0.336577153918409,102.8610345,0.202415171537,-15.8615588704571,0.55906587544846,0.362554680811226,117.8037708,3.26400718768,-3.70425084904322,0.483421194702862,0.350827189571383,134.5929888,27.4809564039,5.86682471186351,1.17660259619521,0.262293348584312,100.3104012,76.0267913637,18.0019557347341,1.7
"9",1275,2008,2.83097899025572,0.231781194368682,96.33594097,108.34395809,21.5321721792978,2.92388253771525,0.194236495412025,97.47686147,111.710207835,23.3207325009809,2.51808235097058,0.197974294467676,92.83172499,66.5130810273,23.0149079258384,1.97721063078454,0.208564058497397,113.0295719,23.5271414591,15.8419209405388,1.30889972304379,0.203238014742677,100.4199803,5.53644718436,9.40767541791271,0.511594015164747,0.235476530102079,105.6719965,0.727692698974,-1.94122768925716,0.990668337661371,0.282871764384801,100.3194598,0.038718381113,-21.3892349115314,0.705497091792936,0.246323249444287,100.5335268,0.0309801232964,-16.5017636209368,0.542259928546188,0.275965298940635,101.7388004,0.133134437287,-13.3113330374558,0.35578692717999,0.368734343783129,113.3950834,2.81745202223,-2.70158253621206,0.486201871312536,0.325398278326003,126.8939825,26.8584796395,3.41005913570572,1.17543568061035,0.251304775639105,99.62581539,76.6021826224,18.2440721476485,2.1
"10",1443,2009,2.37804019342553,0.201778169180422,98.75815254,111.839576922,22.8499578511469,2.92049220834411,0.209828358136701,103.861767,119.018768253,22.6725130129332,2.01091865494003,0.19594315489392,106.5283188,74.4909920659,21.7244816276586,2.64551654561371,0.181803554519703,90.3531409,18.6827597379,21.0307244067804,0.591381467219615,0.213467935205078,120.7614643,7.25494119924,4.17104619251865,0.691949248906513,0.262491052180615,109.5370333,0.916641030603,-2.29100511739467,0.507853099817606,0.276833227294683,101.769076,0.0749308047439,-19.3977376842889,1.30568516123873,0.307292379524118,100.946443,0.0491035855472,-15.9027866903112,0.555822479346216,0.374614691999305,102.5564076,0.18874276394,-13.5788914588484,0.311321083413276,0.382530132838884,142.6378554,5.52743239433,-8.55489839088828,0.406847737002801,0.336656603307871,133.3801101,28.4569536395,6.69268921272312,0.574527912505841,0.223251928948758,103.106988,79.8590444807,18.0354542853411,1.8
